"letter","xbox","ybox","width","height","onpix","xbar","ybar","x2bar","y2bar","xybar","x2ybar","xy2bar","xedge","xedgey","yedge","yedgex","RowID"
"M",5,6,8,4,5,8,6,2,5,9,6,8,7,5,2,8,5375
"U",4,7,5,5,3,4,8,5,7,10,9,9,3,9,2,6,11995
"U",3,2,5,3,2,7,8,5,7,5,9,9,5,10,1,7,15329
"B",4,11,4,8,6,6,6,9,6,7,7,7,2,9,7,10,16337
"Y",8,10,8,8,4,5,8,2,9,9,10,4,5,11,7,3,11135
"B",2,2,3,3,2,8,7,5,5,6,5,5,2,8,6,9,2443
"S",5,11,6,8,3,7,6,6,9,4,6,9,0,9,9,8,17763
"V",5,9,6,7,4,7,11,3,2,6,11,8,3,10,3,9,13072
"O",4,3,5,4,2,7,8,8,8,7,7,7,3,8,4,8,9842
"V",7,9,7,7,3,3,11,4,4,10,12,7,3,10,1,7,14750
"E",4,8,5,6,5,7,7,5,8,6,5,9,3,8,6,9,18457
"C",4,8,6,6,5,5,6,4,5,8,6,11,6,NA,4,8,3504
"K",5,9,8,8,7,8,6,2,3,NA,3,8,6,5,8,12,11436
"O",3,5,4,4,3,7,7,8,5,7,6,8,2,8,3,8,16513
"X",3,6,5,4,4,7,7,3,5,6,6,9,2,8,8,8,3126
"A",6,14,5,8,4,9,4,3,2,8,4,11,6,6,4,8,15330
"I",1,1,0,2,0,7,7,1,7,7,6,8,0,8,2,8,12475
"X",9,14,8,8,4,9,6,3,8,9,4,7,5,8,5,9,19891
"S",5,11,6,8,4,8,7,5,9,11,3,7,2,6,5,9,13136
"T",3,5,4,4,3,9,12,3,6,6,11,8,2,11,1,8,18482
"H",2,4,4,2,2,7,8,3,6,10,6,8,3,8,2,8,6955
"E",4,6,6,4,4,7,8,2,7,11,7,9,3,8,4,9,454
"W",7,8,7,6,6,5,11,3,3,9,7,7,8,11,3,5,14136
"R",2,3,3,2,2,6,8,4,5,7,5,7,2,7,3,8,6212
"S",4,9,5,7,3,9,7,4,8,11,6,7,2,10,5,8,14175
"P",4,8,5,6,2,4,15,8,1,12,6,2,0,9,4,8,15496
"A",4,9,7,7,4,8,2,2,3,6,1,7,2,7,3,7,2238
"V",5,9,4,4,2,9,9,5,4,5,10,6,4,11,3,5,4259
"C",3,7,4,5,3,5,8,6,6,8,8,NA,2,9,4,10,6500
"F",3,8,5,6,3,8,8,2,5,13,5,6,2,10,2,9,10886
"U",5,8,7,7,6,7,7,4,5,6,7,8,7,8,2,7,3548
"W",6,6,7,4,4,6,11,4,2,8,7,6,9,12,2,5,14337
"Q",3,7,4,9,5,8,7,8,3,5,6,9,3,8,6,10,2644
"D",5,9,7,7,6,10,6,3,7,10,3,6,5,7,4,9,8868
"L",3,9,5,6,3,8,3,0,8,10,3,11,0,7,2,9,6632
"Z",4,7,6,5,4,6,9,2,9,11,8,6,1,8,6,6,19660
"M",6,9,8,5,4,9,3,3,2,9,3,9,8,2,1,9,8575
"U",5,6,5,4,3,4,8,5,7,9,8,9,3,9,3,5,1479
"U",1,0,1,0,0,7,6,10,4,7,12,8,3,10,0,8,19224
"Q",4,8,5,9,5,8,9,NA,2,6,8,12,3,10,6,8,4441
"T",5,9,5,7,4,5,11,2,7,11,10,5,1,12,2,4,8651
"K",7,13,8,7,5,7,8,2,6,10,4,8,5,5,4,7,11720
"D",9,14,8,8,6,9,5,4,6,10,4,7,6,8,9,7,15836
"J",2,5,4,3,2,9,5,4,5,14,6,11,1,6,0,7,1067
"Z",1,3,2,2,1,7,7,5,8,6,6,8,2,8,6,8,17146
"E",2,3,4,2,2,6,7,2,7,11,6,9,2,8,3,8,6441
"M",3,7,4,5,3,7,7,11,1,7,9,8,8,5,0,8,18132
"M",4,10,6,7,6,8,6,5,5,7,7,8,11,5,2,8,8837
"D",3,7,4,5,4,6,7,9,7,8,8,6,2,9,3,8,18166
"R",5,5,6,7,3,6,11,9,4,7,3,8,3,7,6,11,9122
"C",4,8,5,6,2,5,7,7,10,7,5,12,1,9,4,9,3622
"X",4,6,6,4,3,10,7,1,8,10,2,6,3,8,3,9,3669
"T",2,3,3,4,1,10,14,1,6,4,11,9,0,8,0,8,10106
"F",3,3,3,4,1,1,14,5,NA,12,10,5,0,8,2,6,15035
"K",4,8,6,6,4,5,6,1,7,10,9,11,4,7,4,7,14052
NA,4,7,5,5,3,6,11,8,2,10,5,3,1,10,4,7,7880
NA,7,12,6,6,4,8,9,4,4,12,5,4,4,10,6,6,18994
"G",4,8,4,6,3,6,6,6,7,11,7,12,2,10,3,10,6084
"F",4,7,6,5,3,8,9,3,6,13,5,5,2,10,3,8,10792
"P",6,9,9,7,6,6,13,7,2,12,5,2,1,11,4,8,4755
"W",7,10,7,8,6,4,10,3,2,9,8,7,7,12,2,5,14239
"E",3,5,5,4,3,6,8,2,8,11,8,9,2,8,4,8,7035
"D",6,11,8,8,8,8,8,6,6,9,5,4,6,9,5,10,710
"X",6,8,8,7,8,8,8,2,5,8,6,8,4,8,8,8,18958
"P",7,11,10,8,6,9,9,4,6,12,3,3,2,10,4,9,12629
"S",4,8,5,6,3,7,6,6,10,5,6,10,0,9,9,8,3088
"G",3,7,5,5,3,7,6,6,6,6,6,10,2,9,4,8,6539
"F",2,3,4,2,1,6,10,2,5,13,7,5,1,9,1,7,11117
"M",4,3,4,4,2,7,7,12,1,7,9,8,8,6,0,8,4663
"H",11,13,10,8,5,8,8,4,5,9,6,7,6,9,5,9,8580
"P",3,8,4,6,2,3,14,8,1,11,7,3,1,10,4,8,1162
"A",5,11,8,8,4,10,2,2,3,9,1,8,3,7,4,8,16346
"E",6,9,8,7,7,8,8,6,3,6,6,10,4,8,8,9,12954
"E",4,9,3,4,2,8,7,3,4,10,5,8,3,9,8,11,18880
"G",7,11,7,8,6,6,6,6,6,10,7,12,2,10,4,10,19612
"A",3,3,5,4,2,8,2,2,2,6,2,8,2,7,2,7,9892
"M",6,9,8,7,6,8,6,2,5,9,6,8,8,6,2,8,18227
"B",6,11,8,8,11,8,6,5,4,7,7,7,9,11,11,10,7620
"E",3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9,42
"J",1,5,2,3,1,10,6,3,5,NA,4,9,1,6,1,7,13970
"N",8,10,9,6,4,8,6,3,4,13,4,8,6,8,0,7,19090
"Z",6,9,8,7,5,8,6,2,9,12,5,10,3,7,7,9,13114
"N",5,11,6,8,6,8,8,13,1,6,6,8,6,8,1,10,2834
"V",4,9,6,7,3,6,12,3,4,8,12,8,3,10,1,9,17986
"X",3,9,4,6,1,7,7,4,4,7,6,8,3,8,4,8,19928
"R",2,1,3,3,2,6,7,4,5,6,5,7,2,6,4,8,17648
"K",4,6,5,8,2,3,7,8,2,7,5,12,3,8,3,10,14852
"K",4,4,6,3,3,6,7,2,7,10,7,10,3,8,3,7,12410
"B",5,9,6,7,6,8,8,6,7,7,6,6,6,8,7,11,18935
"T",7,10,7,8,5,5,11,3,6,11,10,5,2,12,2,4,4671
"P",3,9,5,7,5,6,9,4,5,9,8,4,1,10,4,7,2542
"B",4,10,6,7,5,11,6,3,8,10,3,7,2,8,5,12,13958
"P",6,9,9,7,5,8,11,NA,5,10,4,3,2,10,5,7,6863
"R",5,8,7,6,7,8,6,7,3,8,6,8,6,6,6,11,4311
"I",1,3,2,2,NA,7,8,0,6,13,6,7,0,8,0,7,1626
"O",6,9,4,4,2,8,7,5,5,8,4,7,4,9,5,8,19959
"D",5,10,5,5,3,9,5,4,5,12,3,8,5,7,5,10,19054
"S",5,9,6,6,4,7,7,4,7,10,9,9,2,10,5,6,16497
"Y",3,9,5,6,1,7,10,3,2,7,13,8,2,11,0,8,17452
"D",2,5,4,4,3,9,6,4,6,10,4,6,2,8,3,8,12953
"J",3,10,5,8,4,12,6,2,7,11,2,6,0,7,1,8,10949
"X",5,10,6,7,2,7,7,5,4,7,6,8,3,8,4,8,5069
"U",7,11,6,6,3,7,6,4,6,4,8,6,6,7,3,6,12811
"J",2,5,3,3,1,10,NA,1,7,12,3,7,0,7,1,7,219
"K",5,8,8,7,7,10,7,NA,4,10,2,8,5,5,4,10,16693
"B",2,5,4,4,3,8,8,3,5,10,6,6,3,7,6,9,9504
"R",4,8,6,6,8,7,7,3,5,7,6,8,6,9,7,5,16393
"Y",3,5,5,7,1,9,10,2,2,5,12,8,1,11,0,8,8967
"O",2,1,2,1,1,8,7,7,5,7,6,8,2,8,3,8,5901
"Z",5,8,7,10,7,10,5,4,4,8,3,6,3,5,8,8,10568
"X",3,4,4,5,1,7,7,4,4,7,6,8,3,8,4,8,11447
"E",4,7,5,5,3,7,7,3,NA,11,7,9,2,9,5,8,6900
"Y",3,8,4,6,2,5,10,1,3,8,12,8,1,11,0,8,12214
"M",5,6,8,4,5,7,6,2,5,9,7,8,8,6,2,8,11192
"R",5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,15
"R",6,9,9,8,10,9,7,4,4,8,4,7,8,10,7,4,17069
"R",3,2,4,4,3,7,7,5,5,6,5,7,3,6,6,9,2252
"C",2,1,2,2,1,6,8,7,7,8,7,13,1,8,4,10,11226
"F",3,6,6,4,3,6,10,2,6,13,6,4,1,10,2,7,13054
"Q",4,6,5,7,5,8,5,7,3,6,5,9,3,8,5,9,4848
"I",5,10,6,8,4,6,8,0,7,13,7,8,0,8,1,7,5235
"C",3,5,4,4,2,6,7,7,8,8,8,13,1,9,4,10,3319
"G",7,12,6,6,4,8,3,4,3,7,4,4,4,7,5,8,5626
"S",4,9,4,4,2,7,4,2,4,7,2,7,2,7,5,8,11212
"I",4,11,6,8,3,7,7,0,8,14,6,8,0,8,1,8,5168
"T",5,9,7,7,6,7,6,7,7,6,7,9,4,11,6,8,19867
"D",3,6,4,4,3,9,7,4,5,10,4,5,3,8,2,8,7046
"W",6,9,6,6,5,4,10,2,3,9,8,7,7,11,2,6,16277
"P",4,7,6,11,11,8,6,5,1,7,6,7,7,9,7,10,11820
"R",2,3,2,2,2,7,7,4,5,6,5,6,2,7,4,8,17062
"T",8,14,7,8,4,5,11,2,7,12,8,6,3,8,5,NA,4782
"M",5,7,7,5,5,8,7,2,4,9,7,8,7,6,2,8,19188
"F",5,8,7,6,7,7,8,6,4,8,6,8,4,10,8,11,11888
"N",4,3,4,4,3,7,8,5,5,7,6,6,6,9,3,6,8654
"Z",3,6,4,4,2,7,7,4,14,9,6,8,0,8,8,8,12560
"H",1,1,2,1,1,7,7,11,1,7,6,8,3,8,0,8,14363
"C",4,8,5,6,2,6,7,7,10,8,6,13,1,9,4,NA,10220
"X",4,7,6,5,5,NA,8,2,6,7,6,8,4,8,5,8,13858
"N",6,10,6,8,3,7,7,15,2,4,6,8,6,8,0,8,3068
"Z",3,9,4,6,2,7,7,4,13,10,6,8,0,8,8,8,10504
"Y",7,7,7,5,4,3,10,1,8,11,10,6,1,9,2,4,6701
"Q",3,4,4,6,2,8,7,8,6,6,7,8,3,8,5,9,4039
"T",3,9,4,7,4,6,11,4,6,8,11,7,2,12,1,7,7805
"Y",1,3,2,1,1,8,10,1,6,5,10,8,1,11,1,8,13505
"I",2,5,0,NA,0,7,7,4,4,7,6,8,0,8,0,8,7885
"P",7,8,9,10,11,8,8,NA,3,7,8,7,7,11,7,7,18224
"N",3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8,7025
"G",4,3,5,4,3,6,6,5,6,6,6,8,2,8,4,8,4066
"H",2,1,3,2,2,7,8,6,6,7,6,9,3,8,3,8,3132
"Q",6,11,5,6,3,10,4,5,6,12,3,10,3,7,7,12,10896
"O",2,3,3,2,2,8,7,6,4,9,5,8,2,8,2,8,8116
"S",6,9,7,6,4,9,7,4,8,11,5,8,2,8,5,9,15187
"Q",2,3,2,4,2,7,7,5,2,8,8,9,2,9,4,8,8497
"I",5,12,5,7,3,9,8,3,NA,13,4,5,NA,8,5,10,14702
"A",2,7,4,4,2,7,4,3,2,6,1,8,3,6,2,7,10836
"K",8,10,11,8,8,7,7,1,7,10,5,9,5,7,4,7,15165
"M",6,9,7,4,3,4,8,5,5,4,2,11,8,9,2,8,8371
"K",2,3,4,2,2,6,7,2,6,10,7,10,3,8,2,8,13889
"H",5,10,8,8,7,7,7,3,6,10,7,9,3,8,3,8,7346
"A",1,3,2,1,1,11,3,3,2,10,2,9,1,6,1,8,8002
"Q",1,2,2,3,2,8,7,6,3,5,6,9,2,9,3,9,15970
"F",3,8,3,5,1,0,13,4,4,12,11,7,0,8,2,6,12864
"F",2,3,3,1,1,7,9,2,5,13,6,5,1,9,2,8,17483
"C",6,12,4,6,2,6,9,6,8,11,8,10,2,8,5,9,13511
"B",4,7,6,5,5,8,6,5,6,9,6,7,3,8,7,9,17232
"Q",6,10,8,8,7,8,4,8,4,6,6,8,4,7,6,9,16900
"I",0,7,0,5,0,7,7,4,4,7,6,8,0,8,0,8,10516
"X",7,13,8,7,4,7,8,2,8,11,6,8,4,8,4,7,8476
"C",2,7,3,5,1,6,8,7,8,5,6,13,1,7,4,9,12834
"K",6,9,8,7,7,5,6,4,7,NA,6,12,5,7,7,10,12868
"V",3,5,4,4,5,8,8,5,4,7,6,8,6,8,7,4,5357
"A",3,8,5,6,3,12,3,2,2,10,2,9,2,6,2,8,8826
"W",5,9,7,7,7,10,11,2,2,6,8,7,9,13,2,8,4161
"R",3,5,5,4,5,7,8,3,3,7,5,8,6,8,4,8,19881
"A",3,7,5,5,3,11,2,2,2,9,2,9,3,6,3,9,1078
"Y",3,9,5,6,2,7,11,0,4,7,11,8,0,10,0,8,12207
"P",5,11,6,8,7,6,7,5,4,8,7,8,8,8,6,11,5608
"T",3,7,5,5,3,7,11,1,8,7,11,8,1,10,1,8,1215
"P",6,12,5,6,4,9,8,4,4,12,4,4,4,11,5,7,11235
"Y",5,9,5,6,3,3,10,2,6,10,12,7,2,11,2,5,13543
NA,2,1,2,1,2,7,7,5,6,7,6,8,2,8,5,10,NA
"M",2,3,4,2,3,7,6,3,3,9,7,8,6,5,1,8,8982
"S",4,7,5,5,4,8,7,5,7,5,6,8,0,9,9,8,10650
"K",4,8,6,6,6,6,8,5,4,7,5,8,4,6,9,9,18962
"H",4,5,7,4,4,7,7,3,6,10,6,8,3,8,3,7,10980
"L",2,5,3,3,1,7,4,1,6,8,2,10,1,6,2,8,15284
"Y",4,4,5,6,6,9,8,5,3,7,8,7,6,10,6,4,5501
"H",3,4,5,2,2,7,7,3,6,10,6,8,3,8,3,8,14736
"K",4,5,4,7,2,3,8,8,2,7,4,11,4,8,3,10,9937
"O",4,8,5,6,4,8,6,8,4,7,4,8,3,8,3,8,NA
"W",6,7,6,5,4,6,11,4,2,8,7,6,6,12,2,5,5470
"V",2,NA,3,1,0,7,9,4,2,7,13,8,2,10,0,8,1292
"N",4,9,5,7,5,7,7,13,1,7,6,8,5,NA,0,7,14822
"L",2,2,2,4,1,0,1,5,6,0,0,6,0,8,0,8,16545
"G",4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,13
"R",3,7,4,5,4,8,8,7,2,7,4,6,4,6,8,8,3986
"G",5,7,6,5,4,5,7,6,5,9,7,10,2,9,4,10,830
"R",5,10,5,8,7,6,8,8,4,7,5,7,3,8,6,12,943
"Y",8,11,7,6,4,8,6,4,6,NA,6,5,3,10,6,5,12494
"J",6,11,8,8,4,8,9,1,7,14,4,6,2,8,2,7,3265
"T",5,7,7,6,6,5,8,3,8,7,7,9,3,7,7,5,4870
"L",4,7,5,5,2,5,4,2,9,6,2,9,1,6,2,7,10817
"Z",2,7,3,5,2,6,8,5,10,6,7,9,1,9,8,8,11467
"R",1,0,2,1,1,6,9,7,3,7,5,8,2,7,4,11,12630
"Q",4,9,4,4,3,11,4,4,5,12,3,9,3,8,7,13,16304
"S",3,7,5,5,6,7,7,3,2,8,6,7,2,7,12,3,6234
"W",6,10,10,8,8,7,11,2,2,6,8,8,8,12,1,8,16196
"Q",4,7,5,8,5,8,11,5,1,5,8,12,2,10,5,8,14203
"U",9,13,8,7,5,8,5,5,5,6,9,8,5,9,3,8,19392
"G",3,4,4,3,2,6,7,5,5,9,8,9,2,9,4,9,9628
"J",1,3,2,5,1,11,3,9,3,13,7,13,1,6,0,8,18302
"B",5,8,7,6,7,8,7,6,6,9,6,6,5,10,7,9,5867
"A",6,11,11,8,8,7,5,2,5,5,1,6,6,8,6,6,19164
"L",4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7,155
"S",5,11,7,8,4,8,9,6,10,5,6,6,0,8,9,7,5224
"I",1,6,0,8,1,7,7,4,4,7,6,8,0,8,0,8,12914
"B",5,10,8,8,12,8,8,5,3,7,7,7,8,11,12,9,9523
"K",4,9,6,7,7,7,6,5,5,6,5,7,7,6,8,14,18867
"B",7,10,5,6,4,6,7,5,5,10,6,8,5,7,8,9,14273
"O",4,9,6,7,8,8,8,5,1,7,7,8,8,9,4,9,8061
"H",4,4,4,5,2,7,6,15,1,NA,8,8,3,8,0,8,2300
"X",10,15,11,8,6,7,8,2,8,11,8,8,5,12,4,7,7330
"E",3,7,5,5,3,8,NA,2,9,11,5,8,2,8,5,9,18955
"E",6,13,5,7,4,7,8,4,4,11,5,9,3,9,8,11,14714
"M",4,10,5,8,4,7,7,12,2,7,9,NA,8,6,0,8,6059
"U",5,8,6,6,4,4,8,5,7,9,7,9,4,8,4,4,9104
"F",2,8,3,5,1,1,13,4,3,12,10,5,0,8,3,7,16457
"G",6,10,8,8,8,6,6,6,3,6,6,10,5,8,8,7,1935
"W",3,3,4,2,2,3,10,3,2,10,10,8,5,11,1,6,6861
"R",2,3,4,2,2,8,7,4,5,9,4,7,2,7,4,10,12074
"H",4,10,4,7,2,7,7,15,1,7,6,8,3,8,0,8,12169
"A",2,4,3,3,1,10,2,2,1,8,2,9,1,6,1,8,18287
"E",4,9,4,7,3,3,7,6,10,7,6,14,0,8,8,7,17561
"D",5,11,7,8,6,6,7,8,7,5,4,5,3,9,4,9,11941
"F",3,11,4,8,2,1,13,5,4,12,10,7,0,8,3,6,3993
"G",2,1,NA,2,2,7,7,5,5,7,6,9,3,7,4,9,2961
"I",1,11,0,8,0,7,7,4,4,7,6,8,0,8,0,8,11893
"G",5,11,6,8,3,8,7,8,8,6,6,9,2,7,5,10,7998
"I",1,9,1,7,1,7,7,0,9,7,6,8,0,8,3,8,251
"U",3,6,4,4,1,7,4,13,5,7,13,8,3,9,0,8,2383
"H",6,11,6,8,3,7,7,15,0,7,6,8,3,8,0,8,6860
"S",5,10,7,7,4,8,7,4,9,11,5,7,2,8,5,8,7247
"E",3,7,4,5,3,4,9,2,8,10,8,10,2,8,4,5,1601
"X",5,9,7,7,3,7,8,1,9,10,6,8,3,8,4,7,10687
"H",3,8,4,6,3,8,7,13,1,7,7,8,3,8,0,8,14296
"O",1,3,2,1,1,8,7,6,4,9,6,8,2,8,2,8,13498
"V",6,8,6,6,3,3,12,4,4,10,12,7,2,10,1,8,5570
"C",2,5,3,3,2,6,8,7,8,8,7,13,1,NA,4,10,14633
"X",3,5,4,3,2,7,7,3,9,6,6,8,2,8,6,8,6067
"R",4,7,5,5,5,8,8,7,3,8,5,7,4,8,6,11,6210
"E",4,10,5,8,3,3,9,6,12,7,5,14,0,8,8,7,14615
"A",1,1,2,1,0,7,4,3,0,7,1,8,2,7,1,8,16578
"X",6,11,9,9,6,7,7,0,8,9,6,8,3,8,3,7,16352
"D",4,7,4,5,4,5,7,8,7,6,5,6,2,8,3,8,14487
"M",5,9,6,7,4,8,7,13,2,6,9,8,8,6,0,8,19034
"M",9,12,11,6,6,6,3,3,2,7,4,11,10,1,2,8,9276
"Y",8,13,6,7,4,9,7,5,6,9,5,4,4,10,6,5,17169
"Q",3,3,4,5,4,8,7,7,3,5,7,9,3,8,5,10,19389
"N",3,5,4,7,3,7,7,14,2,5,6,8,6,8,0,8,1051
"C",6,11,6,8,3,4,8,6,8,12,10,13,1,9,3,7,1308
"N",6,7,8,5,4,7,9,2,5,10,5,6,5,9,1,7,2878
"H",8,10,8,5,5,5,9,3,4,10,7,9,5,7,3,6,8603
"C",8,12,5,6,2,7,8,7,7,11,7,9,2,9,5,9,3841
"W",3,4,4,2,2,6,11,3,2,8,7,7,6,11,1,6,5192
"M",6,5,8,4,7,9,8,5,4,7,6,7,9,8,5,3,17511
"H",4,6,5,4,3,10,6,4,6,10,3,7,3,8,3,10,19437
"V",4,8,5,6,3,7,9,4,1,7,13,8,2,10,0,8,17572
"V",5,6,5,4,3,4,12,1,2,8,10,7,3,11,1,7,2209
"F",6,11,8,8,4,4,14,4,5,13,7,2,1,10,2,5,15905
"H",2,1,2,1,2,8,8,6,6,7,6,8,3,8,3,8,2005
"P",6,6,8,9,8,7,9,3,2,8,8,6,8,11,6,5,3229
"A",3,7,5,6,4,7,8,2,4,7,8,9,5,8,3,6,11449
"L",2,5,3,3,2,5,4,5,6,2,2,5,1,6,1,6,13017
"R",5,6,7,6,7,5,7,4,4,6,5,9,7,9,6,9,16917
"A",3,8,6,6,4,8,5,2,4,6,2,6,2,6,2,6,1951
"X",4,5,6,4,3,7,7,1,9,10,6,8,2,8,3,7,17496
"A",6,13,5,7,3,8,1,2,2,9,4,12,3,5,4,6,7932
"S",6,9,7,6,4,8,8,4,10,11,4,7,2,6,5,9,1768
"X",2,1,3,3,2,7,8,3,8,6,6,7,2,8,6,7,4475
"E",3,7,5,5,5,5,7,3,6,7,6,12,2,10,8,6,9724
"M",1,0,2,0,1,7,6,9,0,7,8,8,5,6,0,8,17188
"A",3,4,5,3,2,10,1,3,2,10,2,10,2,6,3,8,17893
"E",2,3,3,2,2,7,7,2,7,11,7,8,2,9,4,8,14602
"A",1,1,2,1,0,7,4,2,0,7,2,8,2,7,1,8,13703
"T",5,5,5,4,2,5,12,2,7,11,9,4,1,11,2,4,3300
"V",5,5,6,4,2,4,12,3,3,10,11,7,3,10,1,7,10569
"Q",3,5,4,5,3,8,7,7,4,6,6,9,2,8,4,9,2485
"L",4,9,6,6,7,6,7,3,6,7,7,11,6,11,6,5,14400
"Z",3,7,5,5,2,9,5,3,9,11,4,9,2,7,6,9,3771
"T",5,10,7,8,6,7,11,3,7,7,11,8,2,12,1,8,14908
"B",5,10,5,8,4,6,9,9,8,7,5,7,2,8,9,10,13834
"K",4,8,5,6,7,8,7,3,4,6,6,8,6,8,7,5,2108
"Z",2,4,4,3,2,8,6,2,9,NA,5,9,1,8,6,9,15985
"L",1,NA,3,2,1,6,4,1,7,8,2,11,0,7,2,9,17492
"M",5,10,6,5,3,10,2,1,3,9,3,9,5,4,1,9,2699
"J",2,8,3,6,2,14,4,4,4,13,2,9,0,7,0,8,15243
"O",6,11,6,8,6,7,7,8,4,10,6,9,4,9,5,5,6657
"V",7,10,7,6,3,6,9,4,3,9,8,5,5,12,2,8,17866
"E",3,6,5,4,4,6,7,3,7,11,8,9,3,8,4,8,17745
"G",10,14,8,8,NA,11,4,4,5,11,3,8,5,7,5,10,3815
"N",6,7,8,5,4,4,11,3,4,10,10,9,5,8,1,8,13724
"G",6,10,7,7,5,5,7,6,5,9,8,11,2,8,4,10,17992
NA,4,10,4,8,3,7,7,14,2,5,6,8,6,8,0,8,15306
"C",2,1,3,2,1,6,7,6,7,8,7,13,1,9,4,10,5437
"C",4,9,5,7,3,5,8,6,8,12,9,13,2,10,3,7,6656
"A",5,7,7,5,7,7,8,8,4,7,5,8,4,8,9,4,11765
"H",5,10,8,8,5,8,8,3,7,10,6,7,3,8,3,8,18259
"J",1,3,2,2,1,11,6,1,6,11,3,7,0,7,0,8,10283
"Y",5,10,8,7,4,8,10,1,7,4,11,9,2,12,3,8,18409
"C",2,3,3,4,1,6,7,7,9,9,6,13,1,9,4,9,14357
"I",1,8,0,6,1,7,7,5,3,7,6,8,0,8,NA,8,14158
"R",4,8,7,7,8,9,8,4,4,7,4,7,6,7,6,4,10685
"P",5,10,7,7,6,7,7,8,4,7,6,7,3,9,8,9,8180
"M",3,6,4,4,3,7,5,10,1,7,8,8,7,5,0,9,11420
"V",9,12,7,7,3,7,9,6,4,8,9,5,6,13,4,9,4229
"N",2,1,2,2,1,7,9,5,4,7,6,7,4,8,1,6,5588
"J",2,5,4,4,1,9,7,2,7,14,4,8,0,7,0,7,11555
"V",2,1,4,2,1,5,12,3,3,9,11,8,2,11,1,8,13935
"L",1,0,2,1,0,2,1,6,5,0,2,5,0,8,0,8,5199
"A",3,7,NA,5,3,12,2,2,2,10,2,9,2,6,3,8,16474
"R",5,9,7,7,4,10,7,3,7,10,2,7,3,6,4,11,13165
"M",6,10,8,7,9,7,6,7,5,6,5,8,9,8,9,11,8495
"W",4,5,5,3,3,3,10,2,2,10,10,8,6,11,1,7,8280
"F",4,5,5,6,5,7,9,5,4,8,6,7,4,9,8,7,363
"F",6,9,5,4,2,8,8,3,6,12,5,6,2,8,6,7,12854
"H",5,10,7,8,7,6,8,5,5,7,6,7,6,7,6,11,13613
"N",6,9,8,7,5,7,9,6,5,7,6,6,7,8,3,8,15891
"M",5,8,8,6,7,9,7,2,4,9,5,7,7,7,2,8,16636
"J",1,2,2,3,1,10,6,2,6,12,4,8,1,6,1,7,8136
"C",5,6,6,5,5,6,7,4,5,7,6,11,5,10,8,11,12681
"A",2,2,4,3,1,6,2,2,2,5,2,8,2,6,2,6,7609
"Q",4,8,5,8,3,8,7,8,6,6,7,8,3,8,5,9,4349
"Y",5,10,8,8,4,10,11,2,8,3,11,8,1,11,2,9,15592
"E",4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7,223
"T",2,4,3,3,1,4,11,2,7,11,10,5,0,10,1,5,19759
"W",6,5,9,8,4,11,8,5,2,6,9,8,9,9,0,8,7473
"P",1,0,2,0,0,5,11,6,1,9,6,5,1,9,3,8,1766
"O",5,10,5,8,5,8,6,8,4,9,5,8,3,8,3,8,966
"O",5,10,4,6,3,6,7,6,3,9,7,9,5,9,5,8,19082
"F",4,8,5,6,5,7,9,6,3,8,6,8,3,10,7,11,14683
"D",2,3,3,2,2,9,6,3,5,10,4,7,2,8,2,NA,13071
"O",6,9,7,7,6,7,8,7,5,9,7,9,3,8,4,7,5736
"U",3,5,4,4,2,6,8,6,7,7,9,9,3,9,1,8,1605
"E",4,11,4,8,4,2,8,5,9,7,6,14,0,8,6,8,8878
"V",7,10,7,8,4,2,12,2,3,10,11,8,2,10,1,8,9350
"J",3,7,4,5,2,9,6,1,6,13,4,8,0,7,0,8,4067
"Z",5,5,7,8,3,7,7,4,15,9,6,8,0,8,9,8,4063
"J",2,6,4,4,3,9,7,2,3,8,4,6,4,8,6,5,3785
"T",1,0,1,0,0,7,14,1,4,7,10,8,0,8,0,8,4280
"M",3,7,4,5,5,8,7,6,3,7,5,8,5,9,5,8,13760
"U",7,9,8,7,3,3,10,6,7,13,11,8,3,9,1,7,15011
"W",3,6,4,4,4,8,7,6,2,6,7,8,5,9,4,6,8916
"Q",5,7,6,9,6,7,10,5,2,5,8,12,3,10,6,8,8037
"D",3,4,5,3,3,9,6,4,6,10,4,6,2,8,3,8,3105
"R",6,9,9,8,10,5,9,4,4,6,4,10,10,5,9,9,6625
"J",2,6,3,4,2,8,6,3,6,12,5,9,1,6,1,6,12818
"J",3,7,5,5,2,9,5,5,5,15,6,11,0,6,1,7,3876
"K",1,0,1,1,0,5,7,7,1,7,6,11,2,NA,2,11,3284
"Y",5,9,5,6,3,3,10,2,7,11,11,6,0,10,2,4,14328
"R",3,8,4,6,4,6,10,7,4,7,4,9,2,6,5,11,12980
"U",4,9,5,7,2,8,5,14,5,6,14,8,3,9,0,8,12338
"Z",5,8,7,6,4,7,8,2,10,12,7,9,1,9,6,8,3720
"X",5,10,8,8,5,7,7,4,9,6,6,10,3,8,7,8,5945
"C",5,9,6,6,3,3,8,5,7,11,10,14,1,8,3,7,7499
